Timestamp,Y1,Y2,Y3,Y4
1739426086733,41,65,31,41
1739426086833,19,15,72,11
1739426086937,78,69,37,23
1739426087039,29,63,75,4
1739426087141,5,49,75,99
1739426087244,27,61,62,17
1739426087345,79,61,22,13
1739426087448,49,71,61,8
1739426087551,81,67,80,47
1739426087653,83,88,30,12
1739426087755,74,78,33,23
1739426087857,58,83,76,59
1739426087960,77,85,25,18
1739426088063,98,16,100,79
1739426088164,88,36,53,72
1739426088267,95,93,39,78
1739426088368,5,15,56,26
1739426088471,62,65,57,69
1739426088573,63,31,63,68
1739426088676,46,40,46,15
1739426088778,87,49,47,17
1739426088880,61,8,42,39
1739426088983,64,86,49,43
1739426089085,44,47,69,25
1739426089187,67,58,57,35
1739426089289,29,38,0,87
1739426089391,10,11,55,1
1739426089493,7,13,24,73
1739426089596,65,24,56,72
1739426089698,31,31,52,40
1739426089800,4,5,16,16
1739426089903,46,32,40,96
1739426090006,59,69,57,54
1739426090107,26,23,93,22
1739426090210,95,34,84,91
1739426090312,75,24,40,27
1739426090414,73,5,38,83
1739426090514,70,5,56,88
1739426090619,1,39,100,68
1739426090720,8,64,90,16
1739426090823,59,11,32,18
1739426090925,19,19,41,63
1739426091026,100,71,68,49
1739426091130,48,38,76,74
1739426091232,91,35,53,6
1739426091334,28,14,19,79
1739426091436,9,28,58,94
1739426091538,100,34,64,26
1739426091641,35,48,18,83
1739426091744,64,86,44,60
1739426091846,85,27,19,22
1739426091948,14,12,30,13
1739426092049,35,35,81,19
1739426092153,29,59,91,71
1739426092255,21,69,39,79
1739426092357,52,74,28,10
1739426092460,29,25,39,57
1739426092561,81,35,90,93
1739426092664,49,91,72,52
1739426092766,20,70,23,70
1739426092869,51,16,95,43
1739426092971,95,41,44,37
1739426093073,73,58,93,49
1739426093176,32,45,29,18
1739426093277,65,77,9,76
1739426093379,98,9,93,58
1739426093482,95,32,84,83
1739426093583,5,2,95,19
1739426093687,50,55,19,84
1739426093789,61,95,19,92
1739426093891,99,4,55,27
1739426093993,71,90,14,49
1739426094096,73,31,54,15
1739426094198,25,8,11,72
1739426094300,17,24,49,10
1739426094403,90,44,39,44
1739426094505,47,34,84,62
1739426094607,87,29,13,88
1739426094709,76,30,41,55
1739426094812,99,73,91,11
1739426094914,90,76,29,76
1739426095016,58,56,37,83
1739426095118,27,10,19,43
1739426095221,53,45,51,50
1739426095323,66,11,82,98
1739426095425,62,36,30,19
1739426095527,88,1,55,77
1739426095629,56,7,59,32
1739426095730,36,19,23,11
1739426095834,82,63,72,66
1739426095937,12,20,11,89
1739426096039,46,93,58,79
1739426096141,2,18,94,15
1739426096241,65,37,81,38
1739426096346,52,30,62,11
1739426096448,86,24,59,29
1739426096550,7,84,91,94
1739426096652,36,37,90,6
1739426096753,27,38,80,35
1739426096856,6,52,80,38
1739426096959,37,82,16,61
1739426097062,79,16,59,47
1739426097163,0,45,1,11
1739426097265,65,85,92,50
1739426097368,77,43,57,77
1739426097470,21,81,22,65
1739426097572,7,4,30,23
1739426097674,49,6,87,89
1739426097777,54,63,39,34
1739426097879,99,51,63,46
1739426097982,100,85,82,99
1739426098084,35,83,28,35
1739426098186,43,43,25,56
1739426098289,37,35,38,69
1739426098391,99,27,70,32
1739426098493,6,97,66,93
1739426098595,13,70,21,10
1739426098698,56,67,45,21
1739426098799,88,40,9,48
1739426098902,74,19,98,8
1739426099004,35,59,94,45
1739426099106,18,47,10,1
1739426099209,83,93,41,44
1739426099311,65,93,71,11
1739426099413,84,1,33,14
1739426099515,8,32,20,73
1739426099618,56,85,58,43
1739426099720,18,93,53,71
1739426099822,79,45,16,23
1739426099925,100,44,95,66
1739426100026,8,24,0,98
1739426100129,3,0,7,40
1739426100231,41,11,93,20
1739426100333,13,94,7,55
1739426100434,28,17,98,51
1739426100538,80,58,21,22
1739426100640,15,45,57,97
1739426100742,36,0,45,41
1739426100845,95,39,25,67
1739426100945,3,74,19,95
1739426101049,24,63,68,68
1739426101151,42,70,42,2
1739426101254,66,32,47,79
1739426101356,68,86,72,55
1739426101457,67,70,99,3
1739426101561,58,40,31,76
1739426101663,24,97,58,50
1739426101765,25,47,31,33
1739426101873,28,48,2,9
1739426101969,21,45,48,13
1739426102071,3,25,75,79
1739426102174,84,28,98,53
1739426102275,65,8,79,2
1739426102379,52,99,90,14
1739426102481,100,86,72,61
1739426102583,85,71,57,12
1739426102685,0,78,17,12
1739426102787,50,59,18,5
1739426102890,89,57,24,27
1739426102992,56,42,29,68
1739426103094,6,44,14,61
1739426103196,48,45,73,4
1739426103299,17,90,6,22
1739426103401,51,26,68,48
1739426103504,53,74,19,67
1739426103606,93,43,62,28
1739426103708,86,78,63,1
1739426103810,11,49,50,15
1739426103912,1,24,76,8
1739426104015,84,10,97,22
1739426104117,51,13,28,17
1739426104219,32,79,62,48
1739426104322,90,84,38,21
1739426104423,43,41,70,6
1739426104527,39,100,60,50
1739426104626,17,32,9,92
1739426104731,76,18,94,94
1739426104833,21,33,58,27
1739426104935,21,77,82,15
1739426105037,65,54,81,80
1739426105138,94,58,19,98
1739426105242,44,99,85,72
1739426105344,91,50,11,6
1739426105446,46,52,18,0
1739426105548,18,6,89,67
1739426105649,48,1,16,43
1739426105753,22,78,21,80
1739426105856,94,72,51,57
1739426105958,64,19,99,80
1739426106060,47,98,76,5
1739426106161,63,67,82,96
1739426106264,72,18,20,7
1739426106366,56,96,67,3
1739426106469,81,5,16,19
1739426106571,47,33,63,33
1739426106673,36,95,27,3
1739426106775,78,26,78,3
1739426106879,27,36,20,100
