Timestamp,Y1,Y2,Y3,Y4
1739430428428,19,15,72,11
1739430428530,78,69,37,23
1739430428632,29,63,75,4
1739430428732,5,49,75,99
1739430428836,27,61,62,17
1739430428939,79,61,22,13
1739430429041,49,71,61,8
1739430429144,81,67,80,47
1739430429244,83,88,30,12
1739430429348,74,78,33,23
1739430429451,58,83,76,59
1739430429553,77,85,25,18
1739430429655,98,16,100,79
1739430429756,88,36,53,72
1739430429860,95,93,39,78
1739430429962,5,15,56,26
1739430430064,62,65,57,69
1739430430165,63,31,63,68
1739430430268,46,40,46,15
1739430430371,87,49,47,17
1739430430473,61,8,42,39
1739430430576,64,86,49,43
1739430430676,44,47,69,25
1739430430780,67,58,57,35
1739430430882,29,38,0,87
1739430430982,10,11,55,1
1739430431085,7,13,24,73
1739430431188,65,24,56,72
1739430431292,31,31,52,40
1739430431393,4,5,16,16
1739430431494,46,32,40,96
1739430431596,59,69,57,54
1739430431700,26,23,93,22
1739430431803,95,34,84,91
1739430431905,75,24,40,27
1739430432005,73,5,38,83
1739430432108,70,5,56,88
1739430432212,1,39,100,68
1739430432314,8,64,90,16
1739430432416,59,11,32,18
1739430432517,19,19,41,63
1739430432620,100,71,68,49
1739430432723,48,38,76,74
1739430432825,91,35,53,6
1739430432928,28,14,19,79
1739430433028,9,28,58,94
1739430433132,100,34,64,26
1739430433235,35,48,18,83
1739430433337,64,86,44,60
1739430433437,85,27,19,22
1739430433540,14,12,30,13
1739430433644,35,35,81,19
1739430433746,29,59,91,71
1739430433847,21,69,39,79
1739430433949,52,74,28,10
1739430434052,29,25,39,57
1739430434155,81,35,90,93
1739430434258,49,91,72,52
1739430434360,20,70,23,70
1739430434460,51,16,95,43
1739430434564,95,41,44,37
1739430434667,73,58,93,49
1739430434769,32,45,29,18
1739430434869,65,77,9,76
1739430434972,98,9,93,58
1739430435076,95,32,84,83
1739430435177,5,2,95,19
1739430435280,50,55,19,84
1739430435380,61,95,19,92
1739430435484,99,4,55,27
1739430435587,71,90,14,49
1739430435689,73,31,54,15
1739430435789,25,8,11,72
1739430435892,17,24,49,10
1739430435996,90,44,39,44
1739430436098,47,34,84,62
1739430436201,87,29,13,88
1739430436300,76,30,41,55
1739430436404,99,73,91,11
1739430436507,90,76,29,76
1739430436610,58,56,37,83
1739430436710,27,10,19,43
1739430436814,53,45,51,50
1739430436916,66,11,82,98
1739430437019,62,36,30,19
1739430437121,88,1,55,77
1739430437221,56,7,59,32
1739430437324,36,19,23,11
1739430437428,82,63,72,66
