Timestamp,Y1,Y2,Y3,Y4
1739429112037,41,65,31,41
1739429112139,19,15,72,11
1739429112242,78,69,37,23
1739429112344,29,63,75,4
1739429112446,5,49,75,99
1739429112547,27,61,62,17
1739429112651,79,61,22,13
1739429112753,49,71,61,8
1739429112855,81,67,80,47
1739429112958,83,88,30,12
1739429113058,74,78,33,23
1739429113162,58,83,76,59
1739429113264,77,85,25,18
1739429113367,98,16,100,79
1739429113469,88,36,53,72
1739429113569,95,93,39,78
1739429113673,5,15,56,26
1739429113776,62,65,57,69
1739429113878,63,31,63,68
1739429113980,46,40,46,15
1739429114081,87,49,47,17
1739429114184,61,8,42,39
1739429114287,64,86,49,43
1739429114390,44,47,69,25
1739429114492,67,58,57,35
1739429114593,29,38,0,87
1739429114712,10,11,55,1
1739429114798,7,13,24,73
1739429114901,65,24,56,72
1739429115003,31,31,52,40
1739429115104,4,5,16,16
1739429115208,46,32,40,96
1739429115310,59,69,57,54
1739429115412,26,23,93,22
1739429115514,95,34,84,91
1739429115617,75,24,40,27
1739429115718,73,5,38,83
1739429115821,70,5,56,88
1739429115923,1,39,100,68
1739429116025,8,64,90,16
1739429116128,59,11,32,18
1739429116230,19,19,41,63
1739429116333,100,71,68,49
1739429116435,48,38,76,74
1739429116537,91,35,53,6
1739429116639,28,14,19,79
1739429116741,9,28,58,94
1739429116844,100,34,64,26
1739429116946,35,48,18,83
1739429117048,64,86,44,60
1739429117151,85,27,19,22
1739429117253,14,12,30,13
1739429117355,35,35,81,19
1739429117458,29,59,91,71
1739429117560,21,69,39,79
1739429117662,52,74,28,10
1739429117763,29,25,39,57
1739429117867,81,35,90,93
1739429117969,49,91,72,52
1739429118071,20,70,23,70
1739429118174,51,16,95,43
1739429118274,95,41,44,37
1739429118378,73,58,93,49
1739429118480,32,45,29,18
1739429118582,65,77,9,76
1739429118684,98,9,93,58
1739429118785,95,32,84,83
1739429118888,5,2,95,19
1739429118992,50,55,19,84
1739429119094,61,95,19,92
1739429119196,99,4,55,27
1739429119297,71,90,14,49
1739429119401,73,31,54,15
1739429119503,25,8,11,72
1739429119605,17,24,49,10
1739429119708,90,44,39,44
1739429119809,47,34,84,62
1739429119912,87,29,13,88
1739429120014,76,30,41,55
1739429120117,99,73,91,11
1739429120219,90,76,29,76
1739429120321,58,56,37,83
1739429120424,27,10,19,43
1739429120526,53,45,51,50
1739429120628,66,11,82,98
1739429120730,62,36,30,19
1739429120832,88,1,55,77
1739429120934,56,7,59,32
1739429121037,36,19,23,11
1739429121139,82,63,72,66
1739429121242,12,20,11,89
1739429121344,46,93,58,79
1739429121446,2,18,94,15
1739429121549,65,37,81,38
1739429121651,52,30,62,11
1739429121753,86,24,59,29
1739429121855,7,84,91,94
1739429121957,36,37,90,6
1739429122060,27,38,80,35
1739429122162,6,52,80,38
1739429122264,37,82,16,61
1739429122367,79,16,59,47
1739429122466,0,45,1,11
1739429122571,65,85,92,50
1739429122673,77,43,57,77
1739429122776,21,81,22,65
1739429122877,7,4,30,23
1739429122978,49,6,87,89
1739429123082,54,63,39,34
1739429123185,99,51,63,46
1739429123287,100,85,82,99
1739429123389,35,83,28,35
1739429123490,43,43,25,56
1739429123594,37,35,38,69
1739429123696,99,27,70,32
1739429123798,6,97,66,93
1739429123901,13,70,21,10
1739429124001,56,67,45,21
1739429124105,88,40,9,48
1739429124207,74,19,98,8
1739429124310,35,59,94,45
1739429124411,18,47,10,1
1739429124513,83,93,41,44
1739429124616,65,93,71,11
1739429124718,84,1,33,14
