Timestamp,Y1,Y2,Y3,Y4
1739426684097,19,15,72,11
1739426684200,78,69,37,23
1739426684301,29,63,75,4
1739426684404,5,49,75,99
1739426684506,27,61,62,17
1739426684608,79,61,22,13
1739426684710,49,71,61,8
1739426684813,81,67,80,47
1739426684916,83,88,30,12
1739426685018,74,78,33,23
1739426685120,58,83,76,59
1739426685222,77,85,25,18
1739426685325,98,16,100,79
1739426685427,88,36,53,72
1739426685529,95,93,39,78
1739426685631,5,15,56,26
1739426685734,62,65,57,69
1739426685836,63,31,63,68
1739426685938,46,40,46,15
1739426686041,87,49,47,17
1739426686142,61,8,42,39
1739426686245,64,86,49,43
1739426686347,44,47,69,25
1739426686450,67,58,57,35
1739426686551,29,38,0,87
1739426686654,10,11,55,1
1739426686754,7,13,24,73
1739426686859,65,24,56,72
1739426686961,31,31,52,40
1739426687062,4,5,16,16
1739426687165,46,32,40,96
1739426687266,59,69,57,54
1739426687370,26,23,93,22
1739426687472,95,34,84,91
1739426687574,75,24,40,27
1739426687676,73,5,38,83
1739426687777,70,5,56,88
1739426687881,1,39,100,68
1739426687983,8,64,90,16
1739426688086,59,11,32,18
1739426688188,19,19,41,63
1739426688289,100,71,68,49
1739426688393,48,38,76,74
1739426688494,91,35,53,6
1739426688597,28,14,19,79
1739426688699,9,28,58,94
1739426688801,100,34,64,26
1739426688904,35,48,18,83
1739426689006,64,86,44,60
1739426689108,85,27,19,22
1739426689211,14,12,30,13
1739426689315,35,35,81,19
1739426689415,29,59,91,71
1739426689518,21,69,39,79
1739426689620,52,74,28,10
1739426689722,29,25,39,57
1739426689824,81,35,90,93
1739426689927,49,91,72,52
1739426690029,20,70,23,70
1739426690131,51,16,95,43
1739426690234,95,41,44,37
1739426690336,73,58,93,49
1739426690438,32,45,29,18
1739426690540,65,77,9,76
1739426690642,98,9,93,58
1739426690745,95,32,84,83
1739426690846,5,2,95,19
1739426690949,50,55,19,84
1739426691052,61,95,19,92
1739426691153,99,4,55,27
1739426691256,71,90,14,49
1739426691358,73,31,54,15
1739426691458,25,8,11,72
1739426691563,17,24,49,10
1739426691665,90,44,39,44
1739426691767,47,34,84,62
1739426691870,87,29,13,88
1739426691970,76,30,41,55
1739426692074,99,73,91,11
1739426692177,90,76,29,76
1739426692279,58,56,37,83
1739426692381,27,10,19,43
1739426692481,53,45,51,50
1739426692586,66,11,82,98
